,value,lat,lon
204,9926,37.40055849343593,126.9200418912773
205,7558,37.4006323373417,126.9198220788202
206,7558,37.40226658667211,126.91846501684108
207,9926,37.40109911893041,126.91959448579429
208,3261,37.40219314987701,126.9213217360571
209,3468,37.40187261803511,126.9217644546815
210,5143,37.40167183702854,126.89950748567209
211,7125,37.40189555662707,126.9004573293943
212,7125,37.40171239989674,126.8987068600485
213,5143,37.40210458722448,126.89710198577141
214,7125,37.40204521272181,126.90170686065208
215,5143,37.40188855586253,126.90131529781179
216,6947,37.40251386871636,126.90565329829158
217,5267,37.40240793112996,126.9056701421204
218,457,37.40241661902636,126.9031032358188
219,570,37.40240118087218,126.90296911134479
220,3468,37.40236058727854,126.92133632938341
221,3261,37.40278458790152,126.9208274853034
222,5267,37.40247802433657,126.9064949538884
223,6947,37.40253046236987,126.90578608031109
224,5267,37.40249536871877,126.9067536110753
225,6947,37.40263224305691,126.9078469226011
226,5267,37.40252321240251,126.908683172623
227,6947,37.40263893152849,126.90962386067329
228,4552,37.40252555614857,126.91083801704559
229,5440,37.40265636820514,126.9125658919652
230,1905,37.40286433724425,126.91039108018221
231,1376,37.40601815020548,126.90832248595258
232,4552,37.40256461833505,126.91317995442971
233,5440,37.4028086811315,126.91790092340679
234,1484,37.40355964990653,126.91950561117359
235,2192,37.4027708683398,126.91826948512279
236,7875,37.40425871186177,126.9168157983098
237,8761,37.40285127527728,126.9181390170269
238,5143,37.40277305609002,126.89605520439251
239,7125,37.40309739920496,126.8957604858701
240,570,37.40409680608995,126.9036898605608
241,457,37.40356380626816,126.90345532907641
242,3846,37.40299989922432,126.8961325488334
243,4616,37.40310761817432,126.8961337351449
244,4616,37.40412065012234,126.90185817316929
245,3846,37.40299961882211,126.89791698635331
246,5143,37.40301439988875,126.8956736421359
247,7125,37.40319993133671,126.8956078604922
248,3261,37.40324639987564,126.92043436081379
249,3468,37.40329852443374,126.9205490162474
250,9867,37.40418596210971,126.89365642337928
251,13697,37.40335239941813,126.8953775794591
252,442,37.4042106808642,126.8965027357632
253,1135,37.40427405597796,126.89639270401159
254,2772,37.40528549331553,126.91874017375869
255,3317,37.40461524388516,126.9194576116004
256,570,37.40417705646166,126.90367779805771
257,457,37.40449693081807,126.9035975798963
258,13697,37.40441486812303,126.89339726660509
259,9867,37.40549055543157,126.88988617311409
260,8761,37.40523740045587,126.91613751658579
261,7875,37.40633802506739,126.9150702047271
262,341,37.40433558676189,126.89665123656602
263,570,37.40427121308252,126.8981806426457
264,341,37.40428090013469,126.89868432945629
265,570,37.40546314941491,126.9026491102706
266,666,37.4045660563602,126.896481642227
267,1237,37.40664796292498,126.89547532900819
268,457,37.40528193075102,126.9030459854584
269,570,37.40523574361904,126.9029230795774
270,3846,37.40454561862332,126.90389564177059
271,4616,37.40708264988741,126.9075475789599
272,3317,37.40796511816514,126.91668036101429
273,2772,37.40531386823392,126.91872311068849
274,13697,37.40575293152364,126.88943714143909
275,9867,37.40547858748391,126.8875543926535
276,4684,37.40630477462121,126.88541320470149
277,10050,37.40591480657751,126.8862508607243
278,543,37.40745130579494,126.8975816105983
279,764,37.40616439939978,126.9025927046492
280,2012,37.40553830576432,126.90312686093809
281,1924,37.40826336917932,126.90694492314431
282,10050,37.40713807516189,126.88493395225201
283,4684,37.40998999369108,126.88259911092828
284,7875,37.40778477468167,126.91387157970101
285,8761,37.40738768053374,126.9143674543373
286,764,37.40726511841733,126.89623339196122
287,543,37.40716121234065,126.896270860682
288,2048,37.40710446314015,126.89550823526692
289,1801,37.40873261923792,126.89401289225121
290,2880,37.40826836918024,126.9071733287178
291,2478,37.40706252452539,126.90769842322109
292,6937,37.40722471168387,126.9084888922267
293,7063,37.40839677485101,126.9126757355044
294,3317,37.40801208765478,126.9166410482998
295,2772,37.40879518082774,126.9158241428407
296,66345,37.41065821209469,126.9198540804295
297,9525,37.40866761848881,126.9225779550513
298,2552,37.40879618114955,126.90956948559669
299,1803,37.40955227504656,126.9120812360242
300,2986,37.40859458757923,126.90702842328791
301,3217,37.4102756812747,126.90647442380491
302,13700,37.40857111813543,126.9136220484121
303,9531,37.40857715021386,126.91330164178471
304,8781,37.40964877559345,126.9124984236544
305,12453,37.40850596231676,126.9132793604697
306,189,37.40914564984781,126.9149519860688
307,625,37.40904643135212,126.91500586146928
308,9525,37.41031646283312,126.9181135164945
309,13699,37.40899680632573,126.9150327980044
310,2048,37.40889339947583,126.8939983614484
311,1801,37.40905224370064,126.89359898533259
312,3406,37.41024446260597,126.9147747980023
313,2574,37.409256305388,126.91543239258459
314,1437,37.41046443149619,126.91398264152241
315,1051,37.40970883733458,126.9127932352945
316,10744,37.4122106495652,126.9101806107721
317,8449,37.41062830574972,126.9116614855153
318,2048,37.41065755605744,126.8920061734308
319,1801,37.41133108783801,126.8917224852382
320,3406,37.41062527573732,126.9144465799383
321,2574,37.41018374308887,126.9146626420405
322,13699,37.41061086869293,126.9195486110992
323,9525,37.4103922439071,126.9183296418239
324,1710,37.41065377504555,126.91460120457519
325,1081,37.41065630616028,126.91435726716341
326,2826,37.41501305620938,126.9118052975838
327,3085,37.41098030604412,126.91427339247421
328,1710,37.4109756498594,126.91522220468
329,1081,37.41173196228784,126.91601042308392
330,58106,37.41195886839574,126.9204136735868
331,3759,37.41069705625354,126.91983326658381
332,3009,37.41105308731706,126.90538407948809
333,3891,37.41116136852464,126.905381078739
334,3891,37.41130011873206,126.900469735643
335,3009,37.4113767131748,126.895170110695
336,3169,37.41267796214564,126.9090771110977
337,2256,37.41147508666225,126.9070191422188
338,3891,37.41155527490933,126.89393507928291
339,3009,37.41158764948926,126.89250354804659
340,1273,37.41225005616191,126.89212357930501
341,1301,37.4173847131708,126.89565926663299
342,1081,37.4145743684813,126.91703104789819
343,1710,37.41232618081965,126.9164451729772
